outcome_group,outcome,outcome_label,specification,omitted_cohort,full_beta,beta,cluster_se,webb_p,delta,pct_change,sign_flip,N,N_clusters,outcome_order,spec_order
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1993,-.0508454715139989,-.046539918,.013230594,.0035003501,.0043055532,8.4679184,0,26766,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1994,-.0508454715139989,-.048157852,.013671095,.0029002901,.0026876184,5.2858562,0,27175,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1995,-.0508454715139989,-.053818922,.013050515,.00190019,-.0029734503,-5.8480144,0,27560,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1996,-.0508454715139989,-.051413644,.013897856,.0023002301,-.0005681708,-1.1174462,0,27859,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1997,-.0508454715139989,-.05726625,.016998561,.00120012,-.00642078,-12.628027,0,28380,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1998,-.0508454715139989,-.060640201,.014339232,.0015001501,-.0097947307,-19.263723,0,28822,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1999,-.0508454715139989,-.0437892,.012153253,.00250025,.0070562707,13.877874,0,29313,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,2000,-.0508454715139989,-.053691272,.016906889,.0040004002,-.0028458005,-5.5969596,0,29695,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,2001,-.0508454715139989,-.046311889,.013997773,.0039003901,.0045335814,8.9163923,0,30234,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,2002,-.0508454715139989,-.048279341,.014311861,.0030003001,.002566132,5.0469236,0,30570,10,5,1
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1992,-.0232369895591425,-.023352783,.0072090812,.0046004602,-.00011579321,-.49831417,0,26736,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1993,-.0232369895591425,-.021599775,.0069819768,.0072007203,.0016372141,7.0457234,0,26766,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1994,-.0232369895591425,-.022207078,.0070641553,.0057005701,.0010299119,4.432209,0,27175,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1995,-.0232369895591425,-.024090022,.0071077798,.0042004199,-.00085303216,-3.6710098,0,27560,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1996,-.0232369895591425,-.023183061,.0071562496,.0050005,.000053929343,.23208404,0,27859,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1997,-.0232369895591425,-.023220193,.0067986888,.0018001801,.00001679759,.072288156,0,28380,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1998,-.0232369895591425,-.024498573,.0075653191,.00220022,-.0012615832,-5.4292021,0,28822,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,1999,-.0232369895591425,-.019125141,.0056959889,.0078007802,.0041118478,17.695271,0,29313,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,2000,-.0232369895591425,-.030772453,.0046206918,.0035003501,-.0075354627,-32.428741,0,29695,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,2001,-.0232369895591425,-.021868456,.0080382554,.0084008398,.0013685329,5.8894582,0,30234,10,5,2
QoE,qoe_income_deprivation50,Income deprivation,Intensity,2002,-.0232369895591425,-.022720423,.0077103288,.0054005398,.0005165672,2.2230384,0,30570,10,5,2
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1992,-.0196602694053613,-.019030362,.011464675,.1250125,.00062990643,3.2039561,0,26736,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1993,-.0196602694053613,-.022198474,.01064631,.055105511,-.0025382042,-12.910323,0,26766,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1994,-.0196602694053613,-.013414508,.0093558393,.17361736,.0062457616,31.768444,0,27175,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1995,-.0196602694053613,-.020922307,.011196603,.090809084,-.0012620377,-6.419229,0,27560,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1996,-.0196602694053613,-.019520193,.011438068,.11841184,.00014007599,.71248257,0,27859,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1997,-.0196602694053613,-.019870015,.01336057,.17361736,-.00020974495,-1.0668467,0,28380,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1998,-.0196602694053613,-.026876736,.010897391,.041404139,-.007216468,-36.705845,0,28822,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,1999,-.0196602694053613,-.01572649,.01042943,.17131713,.0039337799,20.00878,0,29313,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,2000,-.0196602694053613,-.02309965,.012013049,.085108511,-.0034393803,-17.494066,0,29695,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,2001,-.0196602694053613,-.020743113,.011732349,.10481048,-.0010828428,-5.5077724,0,30234,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,2002,-.0196602694053613,-.015304256,.0095857959,.16431643,.0043560127,22.156425,0,30570,10,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1992,-.0072890926126739,-.0073235496,.0063586966,.29852986,-.000034456836,-.47271779,0,26736,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1993,-.0072890926126739,-.0082470831,.006199915,.2209221,-.00095799059,-13.142796,0,26766,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1994,-.0072890926126739,-.0048361029,.0056877341,.41364136,.0024529896,33.652882,0,27175,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1995,-.0072890926126739,-.0074808113,.0062951022,.27432743,-.00019171882,-2.6302152,0,27560,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1996,-.0072890926126739,-.0069200983,.0063001863,.31703171,.00036899408,5.0622773,0,27859,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1997,-.0072890926126739,-.0075409287,.0058992095,.2469247,-.00025183597,-3.4549701,0,28380,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1998,-.0072890926126739,-.0086660031,.0065224031,.23582359,-.0013769103,-18.890009,0,28822,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,1999,-.0072890926126739,-.0044577573,.0056853141,.54175419,.0028313352,38.843452,0,29313,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,2000,-.0072890926126739,-.012402554,.0062055658,.15311532,-.0051134611,-70.152229,0,29695,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,2001,-.0072890926126739,-.0090363547,.0073318491,.28572857,-.001747262,-23.970911,0,30234,10,6,2
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,2002,-.0072890926126739,-.0042880573,.0054330104,.52875286,.0030010352,41.171589,0,30570,10,6,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1992,-.0402424354546395,-.036862917,.0096538272,.0040004002,.0033795198,8.3979006,0,26736,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1993,-.0402424354546395,-.04603814,.0064616506,.0010001,-.0057957051,-14.401975,0,26766,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1994,-.0402424354546395,-.037788317,.0095821982,.00620062,.0024541186,6.0983348,0,27175,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1995,-.0402424354546395,-.038977675,.009620361,.00630063,.0012647592,3.1428494,0,27560,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1996,-.0402424354546395,-.038818303,.0095111942,.0061006099,.0014241332,3.5388842,0,27859,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1997,-.0402424354546395,-.041159291,.010598948,.00560056,-.00091685384,-2.2783258,0,28380,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1998,-.0402424354546395,-.045987729,.0084079076,.0048004799,-.0057452945,-14.276707,0,28822,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,1999,-.0402424354546395,-.035541654,.0075743236,.0064006401,.0047007808,11.681154,0,29313,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,2000,-.0402424354546395,-.041330807,.0098850867,.0052005202,-.0010883722,-2.7045386,0,29695,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,2001,-.0402424354546395,-.039555416,.0093907947,.00560056,.00068701862,1.7071995,0,30234,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,2002,-.0402424354546395,-.040558081,.0092805773,.0042004199,-.00031564478,-.78435808,0,30570,10,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1992,-.0162423855328099,-.014792302,.0048258542,.01280128,.0014500835,8.9277744,0,26736,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1993,-.0162423855328099,-.018217422,.0042371103,.0047004703,-.0019750374,-12.159774,0,26766,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1994,-.0162423855328099,-.015087877,.0047743265,.01410141,.0011545086,7.1079984,0,27175,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1995,-.0162423855328099,-.015420758,.0048154886,.01360136,.00082162721,5.058538,0,27560,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1996,-.0162423855328099,-.015359325,.0047602924,.01360136,.00088305998,5.4367628,0,27859,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1997,-.0162423855328099,-.016124615,.004314668,.00620062,.00011777043,.72508091,0,28380,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1998,-.0162423855328099,-.016757011,.0048569636,.0072007203,-.00051462575,-3.1684124,0,28822,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,1999,-.0162423855328099,-.013266011,.0031209118,.01270127,.0029763742,18.324736,0,29313,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,2000,-.0162423855328099,-.019800756,.0047871098,.0084008398,-.0035583705,-21.90793,0,29695,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,2001,-.0162423855328099,-.016905732,.0054145101,.01040104,-.00066334713,-4.0840497,0,30234,10,7,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,2002,-.0162423855328099,-.017309112,.0050108954,.01030103,-.0010667263,-6.5675468,0,30570,10,7,2
